state,district,assessment_year,annual_recharge_ham_total,annual_extractable_resource_ham_total,annual_extraction_ham_total,stage_of_extraction_pct_total,net_availability_future_use_ham_total,category_derived
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,2024-2025,16528.260000000002,14875.42,346.11,2.326724220223698,14522.18,Safe
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2024-2025,11360.78,10224.69,92.6,0.9025207014739992,9819.28,Safe
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,2024-2025,10797.72,9717.96,347.12,3.5719430827046006,9362.07,Safe
ARUNACHAL PRADESH,ANJAW,2024-2025,0.0,0.0,,,0.0,
ARUNACHAL PRADESH,CHANGLANG,2024-2025,30107.52,27096.75,247.62000000000003,0.9138365302111878,26806.36,Safe
ARUNACHAL PRADESH,DIBANG VALLEY,2024-2025,0.0,0.0,,,0.0,
ARUNACHAL PRADESH,EAST KAMENG,2024-2025,17565.95,15809.36,108.82,0.6883264091652034,15691.77,Safe
ARUNACHAL PRADESH,EAST SIANG,2024-2025,80011.64,71985.0,179.01999999999998,0.2486906994512745,71795.3,Safe
ARUNACHAL PRADESH,KURUNG KUMEY,2024-2025,0.0,0.0,,,0.0,
ARUNACHAL PRADESH,LOHIT,2024-2025,121672.0,109376.97,273.72,0.2502537782862334,109054.75,Safe
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2024-2025,79625.49,71662.94,248.13,0.3462459117641559,71412.15,Safe
ARUNACHAL PRADESH,LOWER SUBANSIRI,2024-2025,5009.6900000000005,4485.54,39.790000000000006,0.887072682441802,4425.59,Safe
ARUNACHAL PRADESH,PAPUM PARE,2024-2025,10823.98,9593.23,148.68,1.549842962172282,9361.85,Safe
ARUNACHAL PRADESH,TAWANG,2024-2025,0.0,0.0,,,0.0,
ARUNACHAL PRADESH,TIRAP,2024-2025,8668.97,7802.07,55.540000000000006,0.7118623647314112,7739.620000000001,Safe
ARUNACHAL PRADESH,UPPER SIANG,2024-2025,0.0,0.0,,,0.0,
